"MLS","askprice","ffarea","beds","baths","floor","view","age","mfee","region"
"R2100519",238000,675,1,1.5,2,0,40,317,"sullivanheights"
"R2100994",278000,673,1,1.5,22,1,40,317,"sullivanheights"
"R2103579",294800,740,1,1.5,17,0,39,300,"sullivanheights"
"R2099070",299000,1050,3,1.5,2,0,37,507,"sfu"
"R2122546",318000,556,1,1.5,5,1,11,216,"sfu"
"R2122884",329000,663,1,1.5,1,0,18,204,"edmonds"
"R2121905",339900,890,2,1.5,1,0,41,291,"centralburnaby"
"R2119006",350000,440,1,1.5,10,1,3,215,"sfu"
"R2117528",368000,623,1,1.5,5,0,0,213,"sfu"
"R2120197",379900,1110,2,2.5,21,0,38,475,"sullivanheights"
"R2111425",389900,743,2,1.5,3,0,0,314,"sfu"
"R2101071",393000,602,1,1.5,5,0,7,198,"sfu"
"R2119603",399000,650,1,1.5,1,0,6,119,"edmonds"
"R2121562",399900,753,2,1.5,4,0,0,314,"sfu"
"R2121297",408000,1015,2,1.5,16,1,34,392,"centralburnaby"
"R2115995",418000,889,2,2.5,11,1,31,277,"governmentroad"
"R2071297",428000,591,1,1.5,6,1,3,288,"sfu"
"R2104764",429000,935,2,2.5,8,0,21,241,"centralburnaby"
"R2086069",438000,634,1,1.5,6,1,1,235,"sfu"
"R2120827",444900,800,1,1.5,10,1,20,318,"southslope"
"R2120249",449000,866,2,2.5,3,0,9,325,"governmentroad"
"R2120723",458000,788,2,2.5,3,0,7,230,"southslope"
"R2121450",460000,1116,2,1.5,5,0,24,342,"edmonds"
"R2109958",469000,906,2,2.5,6,1,17,365,"southslope"
"R2121830",478000,903,2,1.5,10,1,33,303,"centralburnaby"
"R2122969",479000,1067,2,1.5,11,1,32,230,"metrotown"
"R2109550",485000,948,2,1.5,1,0,27,338,"centralburnaby"
"R2104016",493800,761,2,2.5,2,0,2,247,"edmonds"
"R2115120",498900,799,2,1.5,7,0,4,235,"brentwoodpark"
"R2097053",499900,788,2,2.5,4,0,5,240,"southslope"
"R2112174",5e+05,860,2,2.5,2,0,8,218,"highgate"
"R2120108",518888,1046,2,2.5,8,0,25,370,"highgate"
"R2111642",528000,921,2,2.5,16,0,21,323,"centralburnaby"
"R2099616",530000,920,2,2.5,4,0,11,340,"sfu"
"R2106451",539000,596,1,1.5,10,1,1,248,"metrotown"
"R2120302",548880,1272,2,2.5,23,0,32,396,"governmentroad"
"R2111300",550000,1220,2,2.5,6,0,28,350,"metrotown"
"R2096020",559000,821,2,2.5,7,0,4,236,"edmonds"
"R2101540",569000,842,2,2.5,10,1,14,297,"southslope"
"R2109566",588000,860,2,2.5,5,0,8,278,"brentwoodpark"
"R2120644",589000,853,2,2.5,10,1,5,239,"brentwoodpark"
"R2112621",598000,926,2,2.5,5,0,16,268,"metrotown"
"R2120428",599900,1118,2,2.5,17,1,23,477,"metrotown"
"R2117844",625000,1039,2,2.5,17,0,18,405,"centralburnaby"
"R2094381",638000,1064,2,2.5,10,0,24,374,"southslope"
"R2116149",649800,938,3,2.5,6,0,7,270,"southslope"
"R2110921",659000,1055,2,2.5,6,0,9,361,"highgate"
"R2091017",668000,1071,2,2.5,11,1,24,374,"southslope"
"R2120844",678000,1060,2,2.5,16,0,10,274,"highgate"
"R2103667",689800,1046,2,2.5,19,0,11,318,"highgate"
"R2121120",699000,1322,3,2.5,10,0,22,342,"centralburnaby"
"R2121097",708000,1315,2,2.5,19,1,26,229,"metrotown"
"R2120368",738000,842,2,2.5,10,0,3,232,"metrotown"
"R2114586",749900,1368,2,2.5,14,1,9,450,"centralburnaby"
"R2115952",768000,1071,2,2.5,11,1,4,332,"brentwoodpark"
"R2120962",789000,1103,2,2.5,26,1,11,370,"brentwoodpark"
"R2112517",799000,833,2,2.5,38,1,1,275,"metrotown"
"R2116634",848000,1059,2,2.5,30,1,5,359,"highgate"
"R2109091",896000,1368,2,2.5,19,1,9,461,"centralburnaby"
"R2114082",938000,1104,2,2.5,26,1,3,383,"brentwoodpark"
"R2111346",1050000,1188,2,2.5,32,0,0,392,"metrotown"
"R2114676",1288000,1530,3,3.5,32,1,9,494,"edmonds"
"R2118174",1468000,1369,3,3.5,39,1,1,487,"metrotown"
